column,dtype,rows,non_null,nulls,null_rate,zero_rate,min,median,max
home_team_bb_rate_season_to_date,float64,2429,2415,14,0.005763688760806916,0.0004116920543433512,0.0,0.0828368794326241,0.2
home_team_k_rate_season_to_date,float64,2429,2415,14,0.005763688760806916,0.9942363112391931,0.0,0.0,0.0
home_team_low_run_rate_last_10,float64,2429,2415,14,0.005763688760806916,0.04405104981473858,0.0,0.3,1.0
home_team_one_run_game_rate_last_20,float64,2429,2415,14,0.005763688760806916,0.0168793742280774,0.0,0.2941176470588235,1.0
home_team_ops_last_14d,float64,2429,2415,14,0.005763688760806916,0.0,0.2,0.7033631001146976,1.1090225563909777
home_team_ops_last_30d,float64,2429,2415,14,0.005763688760806916,0.0,0.2,0.7085941592502035,1.1090225563909777
home_team_ops_season_to_date,float64,2429,2415,14,0.005763688760806916,0.0,0.2,0.7027951602888494,1.1090225563909777
home_team_pythagorean_win_pct_last_20,float64,2429,2415,14,0.005763688760806916,0.0008233841086867024,0.0,0.5,0.9961089494163424
home_team_recent_10g_win_rate,float64,2429,2415,14,0.005763688760806916,0.015232606010703994,0.0,0.5,1.0
home_team_recent_7g_win_rate,float64,2429,2415,14,0.005763688760806916,0.019349526554137506,0.0,0.4285714285714285,1.0
home_team_runs_allowed_per_game_to_date,float64,2429,2415,14,0.005763688760806916,0.0,1.0,4.357142857142857,10.5
home_team_runs_per_game_to_date,float64,2429,2415,14,0.005763688760806916,0.0008233841086867024,0.0,4.3375,16.0
home_team_weighted_run_diff_last_10,float64,2429,2415,14,0.005763688760806916,0.0,-8.0,-0.0510533725553687,15.0
home_team_weighted_run_diff_last_20,float64,2429,2415,14,0.005763688760806916,0.0,-8.0,-0.0480594705607762,15.0
home_team_weighted_runs_allowed_last_10,float64,2429,2415,14,0.005763688760806916,0.0,1.0,4.330895968549631,10.62162162162162
home_team_weighted_runs_for_last_10,float64,2429,2415,14,0.005763688760806916,0.0008233841086867024,0.0,4.31187818545867,16.0
home_team_weighted_win_rate_last_10,float64,2429,2415,14,0.005763688760806916,0.015232606010703994,0.0,0.4979007083522904,1.0
home_team_weighted_win_rate_last_20,float64,2429,2415,14,0.005763688760806916,0.011527377521613832,0.0,0.5024462742139788,1.0
home_team_woba_season_to_date,float64,2429,2415,14,0.005763688760806916,0.0,0.089,0.3111417995444191,0.4767857142857142
home_travel_distance_miles,float64,2429,2415,14,0.005763688760806916,0.8373816385343763,0.0,0.0,6073.706693892163
home_travel_rest_days,float64,2429,2415,14,0.005763688760806916,0.38863729930012353,0.0,1.0,7.0
home_travel_timezone_shift,float64,2429,2415,14,0.005763688760806916,0.8900782214903252,-16.0,0.0,5.0
park_factor_hr,float64,2429,2421,8,0.0032935364347468094,0.0,0.6543967280163598,0.9918200408997956,1.3087934560327197
park_factor_run,float64,2429,2421,8,0.0032935364347468094,0.0,0.8492332382310984,0.984308131241084,1.282542796005706
home_sp_id,float64,2429,2427,2,0.0008233841086867024,0.0,434378.0,661563.0,814005.0
away_bullpen_fatigue_score,float64,2429,2429,0,0.0,0.012350761630300536,0.0,14.43333333333333,38.883333333333326
away_bullpen_ip_last_1d,float64,2429,2429,0,0.0,0.3618773157678057,0.0,2.333333333333333,10.0
away_bullpen_ip_last_3d,float64,2429,2429,0,0.0,0.016055990119390694,0.0,7.333333333333332,20.33333333333333
away_bullpen_ip_last_5d,float64,2429,2429,0,0.0,0.012350761630300536,0.0,13.999999999999998,28.33333333333333
away_closer_used_yesterday,float64,2429,2429,0,0.0,0.7599835323178262,0.0,0.0,1.0
away_estimated_high_leverage_role_fatigue_score,float64,2429,2429,0,0.0,0.9732400164676822,0.0,0.0,5.0
away_high_leverage_rp_fatigue_score,float64,2429,2429,0,0.0,0.33100041169205435,0.0,1.6666666666666663,11.333333333333332
away_lineup_available_ratio,float64,2429,2429,0,0.0,0.0,1.0,1.0,1.0
away_lineup_confidence,float64,2429,2429,0,0.0,0.0,1.0,1.0,1.0
away_lineup_expected_starter_ratio,float64,2429,2429,0,0.0,0.0,1.0,1.0,1.0
away_lineup_hard_contact_proxy,float64,2429,2429,0,0.0,0.006587072869493619,0.0,0.2560842489343831,0.5731837606837608
away_lineup_injury_absence_signal_count,float64,2429,2429,0,0.0,1.0,0.0,0.0,0.0
away_lineup_lefty_ratio,float64,2429,2429,0,0.0,0.002881844380403458,0.0,0.4444444444444444,0.8888888888888888
away_lineup_platoon_advantage_ratio,float64,2429,2429,0,0.0,0.002470152326060107,0.0,0.5555555555555556,1.0
away_lineup_player_count,float64,2429,2429,0,0.0,0.0,9.0,9.0,9.0
away_lineup_rest_signal_count,float64,2429,2429,0,0.0,1.0,0.0,0.0,0.0
away_lineup_same_hand_ratio,float64,2429,2429,0,0.0,0.008233841086867023,0.0,0.4444444444444444,1.0
away_score,float64,2429,2429,0,0.0,0.0683408810209963,0.0,4.0,20.0
away_sp_id,float64,2429,2429,0,0.0,0.0,434378.0,661563.0,814005.0
away_team,str,2429,2429,0,0.0,,,,
away_travel_away_game_streak,int64,2429,2429,0,0.0,0.0,1.0,4.0,10.0
away_travel_home_game_streak,int64,2429,2429,0,0.0,1.0,0.0,0.0,0.0
away_travel_is_back_to_back,float64,2429,2429,0,0.0,0.5166735282009057,0.0,0.0,1.0
away_travel_travel_day,float64,2429,2429,0,0.0,0.7974475092630712,0.0,0.0,1.0
