variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_accuracy,log_loss_delta_vs_baseline,accuracy_delta_vs_baseline
full,22,2024,163,random_forest,0.686009209668547,0.2464770573787677,0.5546558704453441,741.0,0.5796610169491525,0.398110661268556,0.5882352941176471,0.11470985155195682,0.8823529411764706,0.022941970310391364,0.6908031858052128,0.5344129554655871,-0.004793976136665878,0.020242914979757054
full,22,2024,163,extra_trees,0.6878519283566603,0.24737430567841537,0.5465587044534413,741.0,0.5699481865284974,0.26045883940620784,0.6521739130434783,0.0310391363022942,1.0,0.002699055330634278,0.6908031858052128,0.5344129554655871,-0.0029512574485525134,0.012145748987854255
full,22,2025,163,random_forest_shallow,0.6799683692434028,0.2435234456605877,0.5481682496607869,737.0,0.6053412462908012,0.45725915875169604,0.68,0.13568521031207598,0.8571428571428571,0.018995929443690638,0.6829517843422538,0.5468113975576662,-0.0029834150988510277,0.0013568521031207537
full,22,2025,163,extra_trees,0.6805093640234715,0.2437615953165761,0.5753052917232022,737.0,0.6063829787234043,0.38263229308005425,0.7115384615384616,0.07055630936227951,1.0,0.0067842605156037995,0.6829517843422538,0.5468113975576662,-0.002442420318782279,0.02849389416553605
full,22,2025,163,random_forest,0.6837069485718776,0.24532210221767248,0.5481682496607869,737.0,0.5969387755102041,0.5318860244233379,0.5671641791044776,0.18181818181818182,0.7419354838709677,0.04206241519674356,0.6829517843422538,0.5468113975576662,0.0007551642296238503,0.0013568521031207537
full,22,2026,163,random_forest,0.6855327237261497,0.24624558196804303,0.5474452554744526,274.0,0.5793650793650794,0.45985401459854014,0.5925925925925926,0.09854014598540146,0.7142857142857143,0.025547445255474453,0.6895679608364639,0.5,-0.0040352371103141715,0.04744525547445255
full,22,2026,163,random_forest_shallow,0.6877621993316376,0.24738915013597437,0.5474452554744526,274.0,0.5555555555555556,0.42700729927007297,0.6818181818181818,0.08029197080291971,0.8333333333333334,0.021897810218978103,0.6895679608364639,0.5,-0.0018057615048262532,0.04744525547445255
full,22,2026,163,extra_trees,0.6922072872041071,0.2495388528749016,0.5291970802919708,274.0,0.532608695652174,0.3357664233576642,0.45454545454545453,0.040145985401459854,1.0,0.0072992700729927005,0.6895679608364639,0.5,0.002639326367643191,0.029197080291970767
full,33,2022,161,random_forest_shallow,0.6848492068067421,0.24589351867101325,0.5368289637952559,801.0,0.592391304347826,0.45942571785268416,0.6495726495726496,0.14606741573033707,0.6470588235294118,0.04244694132334582,0.6883235927537055,0.5405742821473158,-0.0034743859469633653,-0.0037453183520599342
full,33,2022,161,extra_trees,0.6849534966398292,0.24592405957195426,0.5355805243445693,801.0,0.6129032258064516,0.27091136079900124,0.625,0.0599250936329588,0.6666666666666666,0.003745318352059925,0.6883235927537055,0.5405742821473158,-0.0033700961138762864,-0.004993757802746579
full,33,2022,161,random_forest,0.6888534642224657,0.24774527947459568,0.5368289637952559,801.0,0.5682819383259912,0.5667915106117354,0.6011904761904762,0.20973782771535582,0.6481481481481481,0.06741573033707865,0.6883235927537055,0.5405742821473158,0.0005298714687602679,-0.0037453183520599342
full,33,2023,163,random_forest_shallow,0.6891926181838022,0.24800900734215706,0.5375,800.0,0.5691318327974276,0.38875,0.5789473684210527,0.095,0.5714285714285714,0.02625,0.689391645554941,0.53375,-0.00019902737113886015,0.003750000000000031
full,33,2023,163,extra_trees,0.6903170628526734,0.24857510438262678,0.54375,800.0,0.558303886925795,0.35375,0.62,0.0625,0.8,0.00625,0.689391645554941,0.53375,0.0009254172977323227,0.010000000000000009
full,33,2023,163,random_forest,0.6920276917861382,0.2493991798312663,0.5425,800.0,0.5502645502645502,0.4725,0.5528455284552846,0.15375,0.5833333333333334,0.045,0.689391645554941,0.53375,0.0026360462311971755,0.008750000000000036
full,33,2024,163,random_forest_shallow,0.6844202616309493,0.24569249941790003,0.562753036437247,741.0,0.602510460251046,0.3225371120107962,0.6610169491525424,0.0796221322537112,1.0,0.006747638326585695,0.6912012345854196,0.5195681511470985,-0.006780972954470332,0.04318488529014841
full,33,2024,163,random_forest,0.6856587462124535,0.24629355688205243,0.5546558704453441,741.0,0.5896551724137931,0.3913630229419703,0.5857142857142857,0.09446693657219973,1.0,0.009446693657219974,0.6912012345854196,0.5195681511470985,-0.0055424883729661145,0.03508771929824561
full,33,2024,163,extra_trees,0.687057807130915,0.24698143336068007,0.5411605937921727,741.0,0.5578947368421052,0.2564102564102564,0.7083333333333334,0.032388663967611336,1.0,0.001349527665317139,0.6912012345854196,0.5195681511470985,-0.004143427454504578,0.021592442645074206
full,33,2025,163,random_forest_shallow,0.679886461982968,0.2434936481981013,0.5508819538670285,737.0,0.6071428571428571,0.4559023066485753,0.71,0.13568521031207598,0.8571428571428571,0.018995929443690638,0.6824891865231572,0.5590230664857531,-0.002602724540189172,-0.008141112618724522
full,33,2025,163,extra_trees,0.6804488468886901,0.24372850836311696,0.5685210312075983,737.0,0.6,0.38670284938941657,0.717391304347826,0.06241519674355495,1.0,0.0067842605156037995,0.6824891865231572,0.5590230664857531,-0.0020403396344670366,0.009497964721845276
full,33,2025,163,random_forest,0.6813685905797122,0.2442046122047576,0.5440976933514247,737.0,0.5942408376963351,0.5183175033921302,0.6549295774647887,0.1926729986431479,0.75,0.04341926729986431,0.6824891865231572,0.5590230664857531,-0.0011205959434449353,-0.014925373134328401
full,33,2026,163,random_forest,0.6871797101739727,0.2471514890264285,0.5291970802919708,274.0,0.5714285714285714,0.4343065693430657,0.5757575757575758,0.12043795620437957,1.0,0.021897810218978103,0.6879500652375902,0.5255474452554745,-0.000770355063617445,0.0036496350364962904
full,33,2026,163,random_forest_shallow,0.6893281338295151,0.24817812965357267,0.5401459854014599,274.0,0.5514018691588785,0.3905109489051095,0.56,0.09124087591240876,1.0,0.014598540145985401,0.6879500652375902,0.5255474452554745,0.001378068591924908,0.014598540145985384
full,33,2026,163,extra_trees,0.6912329971291414,0.24907181076968368,0.5255474452554745,274.0,0.5568181818181818,0.32116788321167883,0.4444444444444444,0.032846715328467155,1.0,0.0036496350364963502,0.6879500652375902,0.5255474452554745,0.003282931891551266,0.0
