holdout_season,model_name,game_id,game_date,season,home_team,away_team,home_score,away_score,home_team_win,home_win_probability,away_win_probability,raw_win_pick,win_confidence,actual_winner,win_edge,win_pick_rule,rule_win_pick,rule_win_correct,random_forest_shallow_raw_win_pick,random_forest_shallow_win_confidence,random_forest_shallow_agrees,soft_voting_raw_win_pick,soft_voting_win_confidence,soft_voting_agrees,agreement_models,agreement_required,models_agree
2022,random_forest,661038,2022-04-12 23:07:00+00:00,2022,LAA,MIA,4.0,3.0,1,0.501964461183731,0.49803553881626905,LAA,0.501964461183731,LAA,0.001964461183730948,pass,,,LAA,0.5094001437828651,True,LAA,0.5159190061221994,True,2,2,True
2022,random_forest,661571,2022-04-12 23:20:00+00:00,2022,ATL,WSH,16.0,4.0,1,0.466000032408029,0.533999967591971,WSH,0.533999967591971,ATL,0.03399996759197099,lean,WSH,0.0,WSH,0.5246988772149581,True,WSH,0.5284151413050984,True,2,2,True
2022,random_forest,661753,2022-04-12 23:40:00+00:00,2022,MIN,LAD,2.0,7.0,0,0.4819789096859324,0.5180210903140676,LAD,0.5180210903140676,LAD,0.018021090314067623,pass,,,LAD,0.5022370683765097,True,MIN,0.5501371223397705,False,1,2,False
2022,random_forest,662017,2022-04-12 23:45:00+00:00,2022,STL,KC,6.0,5.0,1,0.47883066442509814,0.5211693355749019,KC,0.5211693355749019,STL,0.02116933557490186,pass,,,STL,0.5094709289259637,False,STL,0.600912864581948,False,0,2,False
2022,random_forest,661995,2022-04-13 00:05:00+00:00,2022,TEX,COL,1.0,4.0,0,0.5699201236645368,0.4300798763354632,TEX,0.5699201236645368,COL,0.06992012366453682,strong,TEX,0.0,TEX,0.5265197382851706,True,TEX,0.5058565486783522,True,2,2,True
2022,random_forest,663411,2022-04-13 01:40:00+00:00,2022,AZ,HOU,1.0,2.0,0,0.5147538893847525,0.4852461106152475,AZ,0.5147538893847525,HOU,0.014753889384752528,pass,,,AZ,0.5104876396836484,True,HOU,0.550943822372703,False,1,2,False
2022,random_forest,662104,2022-04-13 01:45:00+00:00,2022,SF,SD,13.0,2.0,1,0.456680324179258,0.5433196758207419,SD,0.5433196758207419,SF,0.04331967582074192,lean,SD,0.0,SD,0.5286936914335061,True,SD,0.5427303351114614,True,2,2,True
2022,random_forest,661570,2022-04-13 16:20:00+00:00,2022,ATL,WSH,1.0,3.0,0,0.5847680765860959,0.41523192341390414,ATL,0.5847680765860959,WSH,0.08476807658609586,strong,ATL,0.0,ATL,0.5807631719716847,True,ATL,0.5630018117273268,True,2,2,True
2022,random_forest,662317,2022-04-13 16:35:00+00:00,2022,PIT,CHC,6.0,2.0,1,0.5103396389747633,0.4896603610252367,PIT,0.5103396389747633,PIT,0.01033963897476331,pass,,,CHC,0.508872322360246,False,CHC,0.5586310174371848,False,0,2,False
2022,random_forest,663117,2022-04-13 16:35:00+00:00,2022,CIN,CLE,3.0,7.0,0,0.5341110558428991,0.4658889441571009,CIN,0.5341110558428991,CLE,0.034111055842899085,lean,CIN,0.0,CIN,0.5395832432369111,True,CIN,0.5330488046740572,True,2,2,True
